Blur,Contrast,hog,pca,accuracy,f1,precision,recall,f1_class_0,f1_class_1,f1_class_2,f1_class_3,avg_conf,avg_conf_class_0,avg_conf_class_1,avg_conf_class_2,avg_conf_class_3
3,1.5,True,False,0.261,0.14435051318750114,0.24199880782977337,0.261,0.40067983853834716,0.07751937984496124,0.09920283436669619,0.0,0.375125,0.37929592662530354,0.32217391304347825,0.32333333333333336,0.29000000000000004
3,1.75,True,False,0.25325,0.12869194101245346,0.20808325244637588,0.25325,0.3986543313708999,0.055507372072853424,0.06060606060606061,0.0,0.376055,0.3795154419595314,0.32313725490196077,0.3225842696629213,0.305
3,2.0,True,False,0.25575,0.12849161058113676,0.21192054904376428,0.25575,0.40192388122124634,0.05338078291814947,0.05866177818515124,0.0,0.37856,0.38183236382866204,0.32258064516129026,0.3216483516483516,0.2933333333333333
5,1.25,True,False,0.26325,0.1478901685181781,0.22484160374673368,0.26325,0.4052371753595192,0.08006814310051108,0.1062553556126821,0.0,0.37273,0.3769991801038535,0.32632183908045975,0.3275449101796407,
5,1.5,True,False,0.25725,0.13705143429916655,0.20842032208981065,0.25725,0.40152963671128106,0.060711188204683436,0.08596491228070176,0.0,0.374625,0.3782951173455625,0.32986928104575164,0.32635714285714285,
5,1.75,True,False,0.25375,0.1291601240380479,0.20340162445425602,0.25375,0.3985720285594288,0.055062166962699825,0.063006300630063,0.0,0.37723,0.3804518872939926,0.32817460317460323,0.32459459459459467,0.28
5,2.0,True,False,0.25525,0.13244552822138567,0.22000636730856923,0.25525,0.39798276948938854,0.07329842931937172,0.05850091407678245,0.0,0.378125,0.38148443735035914,0.323972602739726,0.3291489361702128,0.26
7,1.25,True,False,0.26325,0.15389029516727312,0.22006541679129166,0.26325,0.4032258064516129,0.06793703396851698,0.14439834024896264,0.0,0.369315,0.374010590858417,0.3245410628019324,0.3323414634146341,
7,1.5,True,False,0.26025,0.1465620670563104,0.22214088956102263,0.26025,0.4002576766158471,0.0805484147386461,0.1054421768707483,0.0,0.37141499999999994,0.3754197429587093,0.32616766467065866,0.3311363636363636,
7,1.75,True,False,0.25625,0.1376791850864051,0.20262683206897603,0.25625,0.4002560273095797,0.06741573033707865,0.08304498269896193,0.0,0.37283750000000004,0.37681312720368865,0.3266242038216561,0.32538461538461544,
7,2.0,True,False,0.2565,0.13681463014250705,0.20826344892325635,0.2565,0.39940577249575554,0.05530776092774309,0.09254498714652956,0.0,0.37423500000000004,0.37790140086206897,0.32231404958677684,0.33035928143712573,
10,1.25,True,False,0.26875,0.17641133245577575,0.22427062021506544,0.26875,0.3994509265614276,0.13125,0.17494440326167532,0.0,0.3614025,0.3665707505191338,0.33089285714285716,0.3359598853868195,
10,1.5,True,False,0.264,0.16368260433646162,0.2169257527702451,0.264,0.4,0.10366826156299841,0.15106215578284815,0.0,0.364415,0.36956258992805757,0.32720472440944876,0.3332841328413284,
10,1.75,True,False,0.2635,0.16224648628132163,0.4698113728871115,0.2635,0.3978709248170326,0.090311986863711,0.15880503144654087,0.001998001998001998,0.3655825,0.3708805927614705,0.3234862385321101,0.33125,0.29
10,2.0,True,False,0.26,0.1538469513288974,0.21186154921535041,0.26,0.39841862508236325,0.0946843853820598,0.12228479485116653,0.0,0.36757,0.3723388685617788,0.32524509803921564,0.3333744855967078,
